ID,Категория,Название продукта,Калории (ккал),Белки (г),Жиры (г),Углеводы (г),Гликемический индекс (ГИ)
1,Овощи,Помидоры свежие,18,0.6,0.2,3.9,15
2,Овощи,Помидоры свежие на пару,20,0.5,0.2,3.5,18
3,Овощи,Помидоры свежие тушеные,21,0.6,0.3,3.3,18
4,Овощи,Помидоры свежие тушеные халяль,21,0.6,0.3,3.3,18
5,Овощи,Помидоры свежие на гриле,18,0.5,0.2,3.9,15
6,Овощи,Помидоры свежие на гриле фермерский(ое),18,0.5,0.2,3.9,15
7,Овощи,Помидоры свежие замороженные,14,0.6,0.3,4.0,15
8,Овощи,Помидоры свежие замороженные эко,14,0.6,0.3,4.0,15
9,Овощи,Помидоры свежие соленые,16,0.6,0.3,3.1,15
10,Овощи,Помидоры свежие соленые отборный(ое),16,0.6,0.3,3.1,15
11,Овощи,Огурцы свежие,15,0.8,0.1,2.8,15
12,Овощи,Огурцы свежие эко,15,0.8,0.1,2.8,15
13,Овощи,Огурцы свежие на пару,18,0.8,0.1,2.4,18
14,Овощи,Огурцы свежие на пару эко,18,0.8,0.1,2.4,18
15,Овощи,Огурцы свежие тушеные,19,0.8,0.1,2.3,18
16,Овощи,Огурцы свежие тушеные премиум,19,0.8,0.1,2.3,18
17,Овощи,Огурцы свежие на гриле,18,0.8,0.1,3.1,15
18,Овощи,Огурцы свежие на гриле ГОСТ,18,0.8,0.1,3.1,15
19,Овощи,Огурцы свежие замороженные,16,0.9,0.1,2.9,15
20,Овощи,Огурцы свежие замороженные премиум,16,0.9,0.1,2.9,15
21,Овощи,Огурцы свежие соленые,18,0.8,0.1,2.9,15
22,Овощи,Огурцы свежие соленые фермерский(ое),18,0.8,0.1,2.9,15
23,Овощи,Капуста белокочанная,28,1.8,0.1,4.7,15
24,Овощи,Капуста белокочанная отборный(ое),28,1.8,0.1,4.7,15
25,Овощи,Капуста белокочанная на пару,32,1.6,0.1,4.3,18
26,Овощи,Капуста белокочанная на пару халяль,32,1.6,0.1,4.3,18
27,Овощи,Капуста белокочанная тушеные,23,1.7,0.1,4.3,18
28,Овощи,Капуста белокочанная тушеные отборный(ое),23,1.7,0.1,4.3,18
29,Овощи,Капуста белокочанная на гриле,31,1.8,0.1,4.2,15
30,Овощи,Капуста белокочанная на гриле ГОСТ,31,1.8,0.1,4.2,15
31,Овощи,Капуста белокочанная замороженные,26,2.0,0.1,4.9,15
32,Овощи,Капуста белокочанная замороженные фермерский(ое),26,2.0,0.1,4.9,15
33,Овощи,Капуста белокочанная соленые,24,1.9,0.1,4.5,15
34,Овощи,Капуста белокочанная соленые отборный(ое),24,1.9,0.1,4.5,15
35,Овощи,Брокколи,34,2.8,0.4,6.7,15
36,Овощи,Брокколи эко,34,2.8,0.4,6.7,15
37,Овощи,Брокколи на пару,44,2.9,0.5,7.2,18
38,Овощи,Брокколи на пару отборный(ое),44,2.9,0.5,7.2,18
39,Овощи,Брокколи тушеные,41,3.0,0.4,5.4,18
40,Овощи,Брокколи тушеные диетический(ое),41,3.0,0.4,5.4,18
41,Овощи,Брокколи на гриле,32,2.7,0.4,7.9,15
42,Овощи,Брокколи на гриле фермерский(ое),32,2.7,0.4,7.9,15
43,Овощи,Брокколи замороженные,42,2.7,0.5,6.4,15
44,Овощи,Брокколи замороженные халяль,42,2.7,0.5,6.4,15
45,Овощи,Брокколи соленые,42,2.8,0.4,6.0,15
46,Овощи,Брокколи соленые фермерский(ое),42,2.8,0.4,6.0,15
47,Овощи,Цветная капуста,25,2.5,0.3,4.2,15
48,Овощи,Цветная капуста эко,25,2.5,0.3,4.2,15
49,Овощи,Цветная капуста на пару,27,2.4,0.4,4.9,18
50,Овощи,Цветная капуста на пару диетический(ое),27,2.4,0.4,4.9,18
51,Овощи,Цветная капуста тушеные,24,2.4,0.4,4.2,18
52,Овощи,Цветная капуста тушеные диетический(ое),24,2.4,0.4,4.2,18
53,Овощи,Цветная капуста на гриле,21,2.3,0.3,4.4,15
54,Овощи,Цветная капуста на гриле эко,21,2.3,0.3,4.4,15
55,Овощи,Цветная капуста замороженные,29,2.5,0.3,4.0,15
